id,name,client_type,total_assets_under_management,investment_horizon,investment_goal,risk_tolerance
1,"Braun, Kulas and Deckow",Institutional,130000000,1,Capital Appreciation,Low
2,Crist and Sons,Hedge Fund,940000000,2,Capital Appreciation,Low
3,"D'Amore, Gusikowski and Price",Family Office,770000000,1,Capital Appreciation,Low
4,Bartoletti-Mann,Hedge Fund,830000000,7,Capital Preservation,High
5,Nikolaus Inc,High Net Worth Individual,550000000,7,Capital Appreciation,High
6,"Greenfelder, Doyle and Cronin",Institutional,1400000000,8,Income Generation,Low
7,Bailey-Senger,Hedge Fund,240000000,6,Income Generation,Medium
8,"Nicolas, Emmerich and Koss",Hedge Fund,820000000,2,Risk Management,Low
9,Kunze Group,Institutional,630000000,5,Capital Appreciation,High
10,"Swift, Kilback and Schowalter",Hedge Fund,750000000,2,Risk Management,Low
11,Swaniawski Inc,High Net Worth Individual,670000000,1,Capital Appreciation,Medium
12,Kovacek-Kiehn,Family Office,1440000000,2,Risk Management,Low
13,Lubowitz Inc,Family Office,230000000,1,Capital Appreciation,Medium
14,Satterfield-Parisian,Private Equity Firm,1000000000,10,Capital Preservation,Low
15,"Kuphal, Kassulke and Huels",Private Equity Firm,480000000,5,Capital Preservation,High
16,"Lindgren, Pouros and Reichert",Hedge Fund,60000000,6,Capital Preservation,Medium
17,"Schuppe, Rodriguez and Marks",Family Office,590000000,9,Risk Management,Low
18,Walsh-Graham,Institutional,160000000,1,Risk Management,Medium
19,Hermann Inc,Institutional,1850000000,3,Risk Management,Low
20,"Bergnaum, Bailey and Adams",Private Equity Firm,1210000000,9,Income Generation,Low
21,Smitham Inc,Hedge Fund,800000000,7,Risk Management,Low
22,Wisoky-Bruen,Institutional,920000000,7,Income Generation,Low
23,"Muller, Metz and Koch",Private Equity Firm,1570000000,5,Income Generation,Medium
24,"Denesik, Roob and Harris",Institutional,770000000,9,Income Generation,Low
25,"Reinger, Koss and Brekke",Institutional,1510000000,5,Capital Appreciation,Medium
26,"Monahan, Stehr and Weber",Family Office,110000000,4,Capital Appreciation,High
27,"Volkman, Haag and Fahey",Institutional,100000000,7,Income Generation,Medium
28,Cummerata Inc,Institutional,240000000,5,Risk Management,High
29,Powlowski-Boyer,Private Equity Firm,310000000,8,Risk Management,Medium
30,Schaefer-Considine,High Net Worth Individual,420000000,2,Capital Appreciation,High
31,"Wehner, Schoen and Reilly",High Net Worth Individual,650000000,5,Risk Management,High
32,"Kreiger, Rolfson and Cronin",Family Office,720000000,9,Capital Appreciation,Low
33,"Ondricka, Rippin and Cartwright",High Net Worth Individual,80000000,3,Income Generation,Low
34,Veum-Batz,Private Equity Firm,450000000,4,Income Generation,High
35,"Jones, Jerde and Johnston",Hedge Fund,820000000,6,Risk Management,High
36,Hamill Group,Institutional,320000000,7,Capital Appreciation,Low
37,Sawayn LLC,High Net Worth Individual,320000000,8,Risk Management,Low
38,Wisozk-Schowalter,Private Equity Firm,550000000,7,Capital Appreciation,Low
39,Sporer-Hyatt,Hedge Fund,990000000,9,Capital Preservation,Low
40,Connelly-Larkin,Family Office,1720000000,6,Capital Appreciation,Low
41,"Stracke, Weimann and Doyle",High Net Worth Individual,340000000,8,Capital Appreciation,High
42,Robel Inc,High Net Worth Individual,300000000,10,Capital Appreciation,Medium
43,Green LLC,High Net Worth Individual,860000000,8,Income Generation,Low
44,Reichel and Sons,Institutional,790000000,3,Income Generation,High
45,"Gleason, Grimes and Gutkowski",High Net Worth Individual,260000000,9,Capital Appreciation,High
46,Dicki and Sons,Hedge Fund,540000000,4,Capital Appreciation,Low
47,Feest-Huels,Hedge Fund,920000000,7,Capital Appreciation,High
48,Doyle Inc,Family Office,240000000,9,Income Generation,Medium
49,Kessler LLC,Institutional,1060000000,2,Capital Appreciation,Low
50,Robel Group,High Net Worth Individual,1550000000,2,Risk Management,Low
51,Heller Group,Hedge Fund,150000000,9,Risk Management,Medium
52,Cole-Lehner,Family Office,820000000,1,Risk Management,High
53,Hilll-Wilderman,Family Office,100000000,4,Risk Management,Low
54,Konopelski-Bernier,Hedge Fund,1840000000,2,Income Generation,Medium
55,"Haley, Terry and Denesik",Family Office,1730000000,7,Income Generation,Medium
56,White-Schiller,Hedge Fund,240000000,10,Risk Management,Low
57,Zulauf-Graham,Family Office,810000000,5,Income Generation,High
58,Legros-Reichel,Private Equity Firm,150000000,1,Capital Appreciation,High
59,"Ritchie, Fisher and Wiegand",Institutional,240000000,6,Income Generation,High
60,Wyman and Sons,High Net Worth Individual,930000000,6,Risk Management,Low
61,"Kessler, Sauer and Sanford",Private Equity Firm,330000000,3,Income Generation,Medium
62,Walker LLC,Private Equity Firm,250000000,5,Capital Appreciation,Low
63,Kovacek-Keeling,Hedge Fund,700000000,8,Capital Appreciation,Medium
64,Collins Inc,Private Equity Firm,330000000,6,Income Generation,Medium
65,"Hauck, Anderson and Tillman",Family Office,210000000,8,Risk Management,Low
66,Krajcik-Runolfsdottir,Hedge Fund,220000000,3,Capital Appreciation,Low
67,Daugherty and Sons,Hedge Fund,1820000000,5,Risk Management,High
68,"Murphy, Champlin and Gottlieb",Hedge Fund,850000000,5,Capital Preservation,High
69,Lindgren-Brekke,Private Equity Firm,1660000000,8,Capital Appreciation,Medium
70,Little Group,Institutional,520000000,9,Risk Management,Medium
71,"Thiel, Ankunding and Bednar",Hedge Fund,540000000,8,Income Generation,Medium
72,Thiel-Cassin,Hedge Fund,690000000,4,Capital Preservation,Medium
73,Collins-Lind,Hedge Fund,1270000000,6,Income Generation,Low
74,Mosciski and Sons,Family Office,270000000,8,Income Generation,Low
75,Lindgren Inc,Institutional,190000000,2,Capital Preservation,Low
76,"Pfeffer, Welch and Konopelski",Family Office,20000000,1,Income Generation,High
77,Murphy-Rodriguez,High Net Worth Individual,260000000,10,Risk Management,Low
78,Pollich-Hintz,Hedge Fund,690000000,8,Risk Management,Low
79,"Frami, Smitham and Gulgowski",High Net Worth Individual,530000000,5,Risk Management,High
80,"Waelchi, Zemlak and Emard",Hedge Fund,250000000,1,Capital Appreciation,Low
81,"Block, Smith and Wyman",High Net Worth Individual,930000000,9,Risk Management,High
82,Connelly and Sons,High Net Worth Individual,390000000,1,Risk Management,Low
83,Beahan Group,Private Equity Firm,680000000,2,Risk Management,Medium
84,"Quitzon, Streich and Beer",Private Equity Firm,750000000,6,Capital Appreciation,High
85,Dibbert and Sons,Private Equity Firm,1740000000,8,Risk Management,Low
86,"Parker, Halvorson and Wisozk",Private Equity Firm,990000000,1,Capital Preservation,Medium
87,"Roberts, DuBuque and Braun",Private Equity Firm,950000000,5,Capital Preservation,High
88,Feil and Sons,Hedge Fund,870000000,4,Income Generation,Low
89,Runolfsdottir-Williamson,Hedge Fund,450000000,6,Capital Preservation,High
90,"Jacobi, Greenfelder and Gibson",Private Equity Firm,600000000,9,Income Generation,High
